50 Year Period,Word_count,Author,Book,Death_date,URI
300,40085,MuhammadHamadhani,TakmilatTarikhTabari,0521,0521MuhammadHamadhani.TakmilatTarikhTabari.Shamela0006616-ara1
350,42102,IbnQalanisi,Tarikh,0555,0555IbnQalanisi.Tarikh.Shamela0022799-ara1
400,4165,IbnQalanisi,Tarikh,0555,0555IbnQalanisi.Tarikh.Shamela0022799-ara1
450,16058,IbnQalanisi,Tarikh,0555,0555IbnQalanisi.Tarikh.Shamela0022799-ara1
500,52804,IbnQalanisi,Tarikh,0555,0555IbnQalanisi.Tarikh.Shamela0022799-ara1
100,13827,IbnJawzi,Muntazam,0597,0597IbnJawzi.Muntazam.Shamela0012406-ara1
150,29613,IbnJawzi,Muntazam,0597,0597IbnJawzi.Muntazam.Shamela0012406-ara1
200,11863,IbnJawzi,Muntazam,0597,0597IbnJawzi.Muntazam.Shamela0012406-ara1
250,14505,IbnJawzi,Muntazam,0597,0597IbnJawzi.Muntazam.Shamela0012406-ara1
300,13053,IbnJawzi,Muntazam,0597,0597IbnJawzi.Muntazam.Shamela0012406-ara1
350,6062,IbnJawzi,Muntazam,0597,0597IbnJawzi.Muntazam.Shamela0012406-ara1
400,3437,IbnJawzi,Muntazam,0597,0597IbnJawzi.Muntazam.Shamela0012406-ara1
450,11729,IbnJawzi,Muntazam,0597,0597IbnJawzi.Muntazam.Shamela0012406-ara1
500,7804,IbnJawzi,Muntazam,0597,0597IbnJawzi.Muntazam.Shamela0012406-ara1
100,103942,IbnAthirCizzDin,Kamil,0630,0630IbnAthirCizzDin.Kamil.JK000911-ara1
150,52027,IbnAthirCizzDin,Kamil,0630,0630IbnAthirCizzDin.Kamil.JK000911-ara1
200,55187,IbnAthirCizzDin,Kamil,0630,0630IbnAthirCizzDin.Kamil.JK000911-ara1
250,81129,IbnAthirCizzDin,Kamil,0630,0630IbnAthirCizzDin.Kamil.JK000911-ara1
300,76565,IbnAthirCizzDin,Kamil,0630,0630IbnAthirCizzDin.Kamil.JK000911-ara1
350,62793,IbnAthirCizzDin,Kamil,0630,0630IbnAthirCizzDin.Kamil.JK000911-ara1
400,66712,IbnAthirCizzDin,Kamil,0630,0630IbnAthirCizzDin.Kamil.JK000911-ara1
450,66328,IbnAthirCizzDin,Kamil,0630,0630IbnAthirCizzDin.Kamil.JK000911-ara1
500,82184,IbnAthirCizzDin,Kamil,0630,0630IbnAthirCizzDin.Kamil.JK000911-ara1
550,96868,IbnAthirCizzDin,Kamil,0630,0630IbnAthirCizzDin.Kamil.JK000911-ara1
100,181039,SibtIbnJawzi,MiratZaman,0654,0654SibtIbnJawzi.MiratZaman.SHAM19Y23644-ara1
150,131306,SibtIbnJawzi,MiratZaman,0654,0654SibtIbnJawzi.MiratZaman.SHAM19Y23644-ara1
200,167802,SibtIbnJawzi,MiratZaman,0654,0654SibtIbnJawzi.MiratZaman.SHAM19Y23644-ara1
250,118105,SibtIbnJawzi,MiratZaman,0654,0654SibtIbnJawzi.MiratZaman.SHAM19Y23644-ara1
300,97651,SibtIbnJawzi,MiratZaman,0654,0654SibtIbnJawzi.MiratZaman.SHAM19Y23644-ara1
350,91459,SibtIbnJawzi,MiratZaman,0654,0654SibtIbnJawzi.MiratZaman.SHAM19Y23644-ara1
400,89375,SibtIbnJawzi,MiratZaman,0654,0654SibtIbnJawzi.MiratZaman.SHAM19Y23644-ara1
450,119601,SibtIbnJawzi,MiratZaman,0654,0654SibtIbnJawzi.MiratZaman.SHAM19Y23644-ara1
500,65277,SibtIbnJawzi,MiratZaman,0654,0654SibtIbnJawzi.MiratZaman.SHAM19Y23644-ara1
550,123738,SibtIbnJawzi,MiratZaman,0654,0654SibtIbnJawzi.MiratZaman.SHAM19Y23644-ara1
600,64011,SibtIbnJawzi,MiratZaman,0654,0654SibtIbnJawzi.MiratZaman.SHAM19Y23644-ara1
500,26638,AbuShama,Rawdatayn,0665,0665AbuShama.Rawdatayn.Shamela0006631-ara1
350,546,IbnShaddad,AclaqKhatira,0684,0684IbnShaddad.AclaqKhatira.Shamela0000758-ara1
200,60,IbnTiqtaqa,FakhriFiAdab,0709,0709IbnTiqtaqa.FakhriFiAdab.Shamela0012400-ara1
600,38411,IbnFuwati,Hawadith,0723,0723IbnFuwati.Hawadith.JK009307-ara1
600,10362,Yunini,DhaylMiratZaman,0726,0726Yunini.DhaylMiratZaman.Shamela0012722-ara1
400,441,AbuFida,MukhtasarFiAkhbar,0732,0732AbuFida.MukhtasarFiAkhbar.Shamela0012715-ara1
100,48352,IbnDawadari,KanzDurar,0736,0736IbnDawadari.KanzDurar.Sham19Y0018147-ara1
150,18690,IbnDawadari,KanzDurar,0736,0736IbnDawadari.KanzDurar.Sham19Y0018147-ara1
200,9730,IbnDawadari,KanzDurar,0736,0736IbnDawadari.KanzDurar.Sham19Y0018147-ara1
250,12156,IbnDawadari,KanzDurar,0736,0736IbnDawadari.KanzDurar.Sham19Y0018147-ara1
300,6376,IbnDawadari,KanzDurar,0736,0736IbnDawadari.KanzDurar.Sham19Y0018147-ara1
350,15219,IbnDawadari,KanzDurar,0736,0736IbnDawadari.KanzDurar.Sham19Y0018147-ara1
400,6021,IbnDawadari,KanzDurar,0736,0736IbnDawadari.KanzDurar.Sham19Y0018147-ara1
450,5622,IbnDawadari,KanzDurar,0736,0736IbnDawadari.KanzDurar.Sham19Y0018147-ara1
500,6342,IbnDawadari,KanzDurar,0736,0736IbnDawadari.KanzDurar.Sham19Y0018147-ara1
550,19979,IbnDawadari,KanzDurar,0736,0736IbnDawadari.KanzDurar.Sham19Y0018147-ara1
600,32480,IbnDawadari,KanzDurar,0736,0736IbnDawadari.KanzDurar.Sham19Y0018147-ara1
100,10860,Dhahabi,CibarFiKhabar,0748,0748Dhahabi.CibarFiKhabar.Shamela0025841-ara1
150,13928,Dhahabi,CibarFiKhabar,0748,0748Dhahabi.CibarFiKhabar.Shamela0025841-ara1
200,14063,Dhahabi,CibarFiKhabar,0748,0748Dhahabi.CibarFiKhabar.Shamela0025841-ara1
250,12617,Dhahabi,CibarFiKhabar,0748,0748Dhahabi.CibarFiKhabar.Shamela0025841-ara1
300,19042,Dhahabi,CibarFiKhabar,0748,0748Dhahabi.CibarFiKhabar.Shamela0025841-ara1
350,17978,Dhahabi,CibarFiKhabar,0748,0748Dhahabi.CibarFiKhabar.Shamela0025841-ara1
400,16828,Dhahabi,CibarFiKhabar,0748,0748Dhahabi.CibarFiKhabar.Shamela0025841-ara1
450,15174,Dhahabi,CibarFiKhabar,0748,0748Dhahabi.CibarFiKhabar.Shamela0025841-ara1
500,16707,Dhahabi,CibarFiKhabar,0748,0748Dhahabi.CibarFiKhabar.Shamela0025841-ara1
550,20927,Dhahabi,CibarFiKhabar,0748,0748Dhahabi.CibarFiKhabar.Shamela0025841-ara1
600,25956,Dhahabi,CibarFiKhabar,0748,0748Dhahabi.CibarFiKhabar.Shamela0025841-ara1
650,26904,Dhahabi,CibarFiKhabar,0748,0748Dhahabi.CibarFiKhabar.Shamela0025841-ara1
700,25451,Dhahabi,CibarFiKhabar,0748,0748Dhahabi.CibarFiKhabar.Shamela0025841-ara1
300,447,Dhahabi,MucinFiTabaqatMuhaddithin,0748,0748Dhahabi.MucinFiTabaqatMuhaddithin.JK000658-ara1
100,889,Dhahabi,TarikhIslam,0748,0748Dhahabi.TarikhIslam.Shamela0035100-ara1
150,633,Dhahabi,TarikhIslam,0748,0748Dhahabi.TarikhIslam.Shamela0035100-ara1
200,5292,Dhahabi,TarikhIslam,0748,0748Dhahabi.TarikhIslam.Shamela0035100-ara1
250,867,Dhahabi,TarikhIslam,0748,0748Dhahabi.TarikhIslam.Shamela0035100-ara1
450,378,Dhahabi,TarikhIslam,0748,0748Dhahabi.TarikhIslam.Shamela0035100-ara1
500,677,Dhahabi,TarikhIslam,0748,0748Dhahabi.TarikhIslam.Shamela0035100-ara1
500,2368,ShihabDinCumari,MasalikAbsar,0749,0749ShihabDinCumari.MasalikAbsar.Shamela0011790-ara1
550,18354,ShihabDinCumari,MasalikAbsar,0749,0749ShihabDinCumari.MasalikAbsar.Shamela0011790-ara1
600,23767,ShihabDinCumari,MasalikAbsar,0749,0749ShihabDinCumari.MasalikAbsar.Shamela0011790-ara1
650,16613,ShihabDinCumari,MasalikAbsar,0749,0749ShihabDinCumari.MasalikAbsar.Shamela0011790-ara1
300,125,IbnKaykaldiDimashqi,ItharatFawaid,0761,0761IbnKaykaldiDimashqi.ItharatFawaid.Shamela0022882-ara1
350,94,IbnKaykaldiDimashqi,ItharatFawaid,0761,0761IbnKaykaldiDimashqi.ItharatFawaid.Shamela0022882-ara1
700,5723,AbuMahasinHusayni,DhaylCibar,0765,0765AbuMahasinHusayni.DhaylCibar.JK001291BK2-ara1
100,24277,Yafici,MiratJanan,0768,0768Yafici.MiratJanan.Shamela0009091-ara1
150,36528,Yafici,MiratJanan,0768,0768Yafici.MiratJanan.Shamela0009091-ara1
200,4101,Yafici,MiratJanan,0768,0768Yafici.MiratJanan.Shamela0009091-ara1
350,1507,Yafici,MiratJanan,0768,0768Yafici.MiratJanan.Shamela0009091-ara1
400,13705,Yafici,MiratJanan,0768,0768Yafici.MiratJanan.Shamela0009091-ara1
450,20033,Yafici,MiratJanan,0768,0768Yafici.MiratJanan.Shamela0009091-ara1
500,27139,Yafici,MiratJanan,0768,0768Yafici.MiratJanan.Shamela0009091-ara1
550,45681,Yafici,MiratJanan,0768,0768Yafici.MiratJanan.Shamela0009091-ara1
600,24011,Yafici,MiratJanan,0768,0768Yafici.MiratJanan.Shamela0009091-ara1
650,21526,Yafici,MiratJanan,0768,0768Yafici.MiratJanan.Shamela0009091-ara1
100,74666,IbnKathir,Bidaya,0774,0774IbnKathir.Bidaya.Shamela0004445-ara1
150,51718,IbnKathir,Bidaya,0774,0774IbnKathir.Bidaya.Shamela0004445-ara1
200,44863,IbnKathir,Bidaya,0774,0774IbnKathir.Bidaya.Shamela0004445-ara1
250,43653,IbnKathir,Bidaya,0774,0774IbnKathir.Bidaya.Shamela0004445-ara1
300,45901,IbnKathir,Bidaya,0774,0774IbnKathir.Bidaya.Shamela0004445-ara1
350,39127,IbnKathir,Bidaya,0774,0774IbnKathir.Bidaya.Shamela0004445-ara1
400,31894,IbnKathir,Bidaya,0774,0774IbnKathir.Bidaya.Shamela0004445-ara1
450,32988,IbnKathir,Bidaya,0774,0774IbnKathir.Bidaya.Shamela0004445-ara1
500,23722,IbnKathir,Bidaya,0774,0774IbnKathir.Bidaya.Shamela0004445-ara1
550,57642,IbnKathir,Bidaya,0774,0774IbnKathir.Bidaya.Shamela0004445-ara1
600,52079,IbnKathir,Bidaya,0774,0774IbnKathir.Bidaya.Shamela0004445-ara1
650,65273,IbnKathir,Bidaya,0774,0774IbnKathir.Bidaya.Shamela0004445-ara1
700,78031,IbnKathir,Bidaya,0774,0774IbnKathir.Bidaya.Shamela0004445-ara1
300,12932,IbnKathir,TabaqatShaficiyyin,0774,0774IbnKathir.TabaqatShaficiyyin.Shamela0012860-ara1
350,4792,IbnKathir,TabaqatShaficiyyin,0774,0774IbnKathir.TabaqatShaficiyyin.Shamela0012860-ara1
400,7116,IbnKathir,TabaqatShaficiyyin,0774,0774IbnKathir.TabaqatShaficiyyin.Shamela0012860-ara1
450,13644,IbnKathir,TabaqatShaficiyyin,0774,0774IbnKathir.TabaqatShaficiyyin.Shamela0012860-ara1
500,14522,IbnKathir,TabaqatShaficiyyin,0774,0774IbnKathir.TabaqatShaficiyyin.Shamela0012860-ara1
550,15982,IbnKathir,TabaqatShaficiyyin,0774,0774IbnKathir.TabaqatShaficiyyin.Shamela0012860-ara1
600,13139,IbnKathir,TabaqatShaficiyyin,0774,0774IbnKathir.TabaqatShaficiyyin.Shamela0012860-ara1
700,39708,IbnRaficSallami,Wafayat,0774,0774IbnRaficSallami.Wafayat.Shamela0006724-ara1
450,22451,IbnRajabHanbali,DhaylTabaqatHanabila,0795,0795IbnRajabHanbali.DhaylTabaqatHanabila.Shamela0031366-ara1
500,79372,IbnRajabHanbali,DhaylTabaqatHanabila,0795,0795IbnRajabHanbali.DhaylTabaqatHanabila.Shamela0031366-ara1
600,76650,IbnRajabHanbali,DhaylTabaqatHanabila,0795,0795IbnRajabHanbali.DhaylTabaqatHanabila.Shamela0031366-ara1
350,20021,Maqrizi,ItticazHunafa,0845,0845Maqrizi.ItticazHunafa.Shamela0000176-ara1
400,24172,Maqrizi,ItticazHunafa,0845,0845Maqrizi.ItticazHunafa.Shamela0000176-ara1
450,19643,Maqrizi,ItticazHunafa,0845,0845Maqrizi.ItticazHunafa.Shamela0000176-ara1
500,25444,Maqrizi,ItticazHunafa,0845,0845Maqrizi.ItticazHunafa.Shamela0000176-ara1
100,314,Maqrizi,Muqaffa,0845,0845Maqrizi.Muqaffa.Shamela19Y0145334-ara1
150,589,Maqrizi,Muqaffa,0845,0845Maqrizi.Muqaffa.Shamela19Y0145334-ara1
250,578,Maqrizi,Muqaffa,0845,0845Maqrizi.Muqaffa.Shamela19Y0145334-ara1
300,360,Maqrizi,Muqaffa,0845,0845Maqrizi.Muqaffa.Shamela19Y0145334-ara1
550,20508,Maqrizi,Suluk,0845,0845Maqrizi.Suluk.Shamela0006667-ara1
600,37588,Maqrizi,Suluk,0845,0845Maqrizi.Suluk.Shamela0006667-ara1
650,91604,Maqrizi,Suluk,0845,0845Maqrizi.Suluk.Shamela0006667-ara1
700,176262,Maqrizi,Suluk,0845,0845Maqrizi.Suluk.Shamela0006667-ara1
750,159328,Maqrizi,Suluk,0845,0845Maqrizi.Suluk.Shamela0006667-ara1
800,3061,IbnTaghribirdi,HawadithDahriya,0874,0874IbnTaghribirdi.HawadithDahriya.Shamela0009807-ara1
100,8882,IbnTaghribirdi,NujumZahira,0874,0874IbnTaghribirdi.NujumZahira.JK001330-ara1
150,5357,IbnTaghribirdi,NujumZahira,0874,0874IbnTaghribirdi.NujumZahira.JK001330-ara1
200,9425,IbnTaghribirdi,NujumZahira,0874,0874IbnTaghribirdi.NujumZahira.JK001330-ara1
250,13759,IbnTaghribirdi,NujumZahira,0874,0874IbnTaghribirdi.NujumZahira.JK001330-ara1
300,14890,IbnTaghribirdi,NujumZahira,0874,0874IbnTaghribirdi.NujumZahira.JK001330-ara1
350,15251,IbnTaghribirdi,NujumZahira,0874,0874IbnTaghribirdi.NujumZahira.JK001330-ara1
400,10208,IbnTaghribirdi,NujumZahira,0874,0874IbnTaghribirdi.NujumZahira.JK001330-ara1
450,9407,IbnTaghribirdi,NujumZahira,0874,0874IbnTaghribirdi.NujumZahira.JK001330-ara1
500,11894,IbnTaghribirdi,NujumZahira,0874,0874IbnTaghribirdi.NujumZahira.JK001330-ara1
550,6608,IbnTaghribirdi,NujumZahira,0874,0874IbnTaghribirdi.NujumZahira.JK001330-ara1
600,2956,IbnTaghribirdi,NujumZahira,0874,0874IbnTaghribirdi.NujumZahira.JK001330-ara1
650,6608,IbnTaghribirdi,NujumZahira,0874,0874IbnTaghribirdi.NujumZahira.JK001330-ara1
700,5169,IbnTaghribirdi,NujumZahira,0874,0874IbnTaghribirdi.NujumZahira.JK001330-ara1
750,5638,IbnTaghribirdi,NujumZahira,0874,0874IbnTaghribirdi.NujumZahira.JK001330-ara1
800,4141,AbuDharrSibtIbnCajami,KunuzDhahab,0884,0884AbuDharrSibtIbnCajami.KunuzDhahab.Shamela0011786-ara1
700,24996,IbnKhalilZaynDinMalati,NaylAmal,0920,0920IbnKhalilZaynDinMalati.NaylAmal.Sham30K0046779-ara1
750,152279,IbnKhalilZaynDinMalati,NaylAmal,0920,0920IbnKhalilZaynDinMalati.NaylAmal.Sham30K0046779-ara1
800,234111,IbnKhalilZaynDinMalati,NaylAmal,0920,0920IbnKhalilZaynDinMalati.NaylAmal.Sham30K0046779-ara1
250,9894,AbuBakrMaliki,RiyadNufus,1072,1072AbuBakrMaliki.RiyadNufus.Shamela0148883-ara1
300,52154,AbuBakrMaliki,RiyadNufus,1072,1072AbuBakrMaliki.RiyadNufus.Shamela0148883-ara1
100,27667,IbnCimad,Shadharat,1089,1089IbnCimad.Shadharat.Shamela0012398-ara1
150,34517,IbnCimad,Shadharat,1089,1089IbnCimad.Shadharat.Shamela0012398-ara1
200,32073,IbnCimad,Shadharat,1089,1089IbnCimad.Shadharat.Shamela0012398-ara1
250,28174,IbnCimad,Shadharat,1089,1089IbnCimad.Shadharat.Shamela0012398-ara1
300,37141,IbnCimad,Shadharat,1089,1089IbnCimad.Shadharat.Shamela0012398-ara1
350,39042,IbnCimad,Shadharat,1089,1089IbnCimad.Shadharat.Shamela0012398-ara1
400,31190,IbnCimad,Shadharat,1089,1089IbnCimad.Shadharat.Shamela0012398-ara1
450,31146,IbnCimad,Shadharat,1089,1089IbnCimad.Shadharat.Shamela0012398-ara1
500,38602,IbnCimad,Shadharat,1089,1089IbnCimad.Shadharat.Shamela0012398-ara1
550,46895,IbnCimad,Shadharat,1089,1089IbnCimad.Shadharat.Shamela0012398-ara1
600,65172,IbnCimad,Shadharat,1089,1089IbnCimad.Shadharat.Shamela0012398-ara1
650,51953,IbnCimad,Shadharat,1089,1089IbnCimad.Shadharat.Shamela0012398-ara1
700,45510,IbnCimad,Shadharat,1089,1089IbnCimad.Shadharat.Shamela0012398-ara1
750,54483,IbnCimad,Shadharat,1089,1089IbnCimad.Shadharat.Shamela0012398-ara1
800,68157,IbnCimad,Shadharat,1089,1089IbnCimad.Shadharat.Shamela0012398-ara1
850,23449,IbnCimad,Shadharat,1089,1089IbnCimad.Shadharat.Shamela0012398-ara1
900,74289,IbnCimad,Shadharat,1089,1089IbnCimad.Shadharat.Shamela0012398-ara1
100,508,IbrahimShajari,TabaqatZaydiyyaKubra,1152,1152IbrahimShajari.TabaqatZaydiyyaKubra.Zaydiyya0000100-ara1
350,93,IbrahimShajari,TabaqatZaydiyyaKubra,1152,1152IbrahimShajari.TabaqatZaydiyyaKubra.Zaydiyya0000100-ara1
400,223,IbrahimShajari,TabaqatZaydiyyaKubra,1152,1152IbrahimShajari.TabaqatZaydiyyaKubra.Zaydiyya0000100-ara1
450,129,IbrahimShajari,TabaqatZaydiyyaKubra,1152,1152IbrahimShajari.TabaqatZaydiyyaKubra.Zaydiyya0000100-ara1
500,882,IbrahimShajari,TabaqatZaydiyyaKubra,1152,1152IbrahimShajari.TabaqatZaydiyyaKubra.Zaydiyya0000100-ara1
550,61,IbrahimShajari,TabaqatZaydiyyaKubra,1152,1152IbrahimShajari.TabaqatZaydiyyaKubra.Zaydiyya0000100-ara1
600,322,IbrahimShajari,TabaqatZaydiyyaKubra,1152,1152IbrahimShajari.TabaqatZaydiyyaKubra.Zaydiyya0000100-ara1
650,587,IbrahimShajari,TabaqatZaydiyyaKubra,1152,1152IbrahimShajari.TabaqatZaydiyyaKubra.Zaydiyya0000100-ara1
700,68,IbrahimShajari,TabaqatZaydiyyaKubra,1152,1152IbrahimShajari.TabaqatZaydiyyaKubra.Zaydiyya0000100-ara1
750,1384,IbrahimShajari,TabaqatZaydiyyaKubra,1152,1152IbrahimShajari.TabaqatZaydiyyaKubra.Zaydiyya0000100-ara1
800,100,IbrahimShajari,TabaqatZaydiyyaKubra,1152,1152IbrahimShajari.TabaqatZaydiyyaKubra.Zaydiyya0000100-ara1
200,966,Qannawji,HittaFiDhikr,1307,1307Qannawji.HittaFiDhikr.Shamela0010717-ara1
250,5191,Qannawji,HittaFiDhikr,1307,1307Qannawji.HittaFiDhikr.Shamela0010717-ara1
100,174,ZaynabFawwaz,DurrManthur,1332,1332ZaynabFawwaz.DurrManthur.Shamela0009229-ara1
100,3691,AhmadJindari,JamicWajiz,1337,1337AhmadJindari.JamicWajiz.Zaydiyya0000276-ara1
150,3828,AhmadJindari,JamicWajiz,1337,1337AhmadJindari.JamicWajiz.Zaydiyya0000276-ara1
200,3175,AhmadJindari,JamicWajiz,1337,1337AhmadJindari.JamicWajiz.Zaydiyya0000276-ara1
250,5150,AhmadJindari,JamicWajiz,1337,1337AhmadJindari.JamicWajiz.Zaydiyya0000276-ara1
300,4036,AhmadJindari,JamicWajiz,1337,1337AhmadJindari.JamicWajiz.Zaydiyya0000276-ara1
350,3657,AhmadJindari,JamicWajiz,1337,1337AhmadJindari.JamicWajiz.Zaydiyya0000276-ara1
550,5889,AhmadJindari,JamicWajiz,1337,1337AhmadJindari.JamicWajiz.Zaydiyya0000276-ara1
600,6358,AhmadJindari,JamicWajiz,1337,1337AhmadJindari.JamicWajiz.Zaydiyya0000276-ara1
650,6385,AhmadJindari,JamicWajiz,1337,1337AhmadJindari.JamicWajiz.Zaydiyya0000276-ara1
700,5528,AhmadJindari,JamicWajiz,1337,1337AhmadJindari.JamicWajiz.Zaydiyya0000276-ara1
750,5691,AhmadJindari,JamicWajiz,1337,1337AhmadJindari.JamicWajiz.Zaydiyya0000276-ara1
800,6992,AhmadJindari,JamicWajiz,1337,1337AhmadJindari.JamicWajiz.Zaydiyya0000276-ara1
850,3865,AhmadJindari,JamicWajiz,1337,1337AhmadJindari.JamicWajiz.Zaydiyya0000276-ara1
900,6243,AhmadJindari,JamicWajiz,1337,1337AhmadJindari.JamicWajiz.Zaydiyya0000276-ara1
100,1068,IbnHusaynGhazzi,NahrDhahab,1351,1351IbnHusaynGhazzi.NahrDhahab.Shamela0011788-ara1
150,171,IbnHusaynGhazzi,NahrDhahab,1351,1351IbnHusaynGhazzi.NahrDhahab.Shamela0011788-ara1
250,233,IbnHusaynGhazzi,NahrDhahab,1351,1351IbnHusaynGhazzi.NahrDhahab.Shamela0011788-ara1
300,1731,IbnHusaynGhazzi,NahrDhahab,1351,1351IbnHusaynGhazzi.NahrDhahab.Shamela0011788-ara1
350,953,IbnHusaynGhazzi,NahrDhahab,1351,1351IbnHusaynGhazzi.NahrDhahab.Shamela0011788-ara1
400,752,IbnHusaynGhazzi,NahrDhahab,1351,1351IbnHusaynGhazzi.NahrDhahab.Shamela0011788-ara1
450,1551,IbnHusaynGhazzi,NahrDhahab,1351,1351IbnHusaynGhazzi.NahrDhahab.Shamela0011788-ara1
500,590,IbnHusaynGhazzi,NahrDhahab,1351,1351IbnHusaynGhazzi.NahrDhahab.Shamela0011788-ara1
550,482,IbnHusaynGhazzi,NahrDhahab,1351,1351IbnHusaynGhazzi.NahrDhahab.Shamela0011788-ara1
600,1735,IbnHusaynGhazzi,NahrDhahab,1351,1351IbnHusaynGhazzi.NahrDhahab.Shamela0011788-ara1
100,74881,KurdCali,KhitatSham,1372,1372KurdCali.KhitatSham.Shamela0037063-ara1
150,1383,KurdCali,KhitatSham,1372,1372KurdCali.KhitatSham.Shamela0037063-ara1
250,2287,KurdCali,KhitatSham,1372,1372KurdCali.KhitatSham.Shamela0037063-ara1
350,8597,KurdCali,KhitatSham,1372,1372KurdCali.KhitatSham.Shamela0037063-ara1
450,7281,KurdCali,KhitatSham,1372,1372KurdCali.KhitatSham.Shamela0037063-ara1
500,17151,KurdCali,KhitatSham,1372,1372KurdCali.KhitatSham.Shamela0037063-ara1
550,14691,KurdCali,KhitatSham,1372,1372KurdCali.KhitatSham.Shamela0037063-ara1
600,9685,KurdCali,KhitatSham,1372,1372KurdCali.KhitatSham.Shamela0037063-ara1
650,6693,KurdCali,KhitatSham,1372,1372KurdCali.KhitatSham.Shamela0037063-ara1
750,5812,KurdCali,KhitatSham,1372,1372KurdCali.KhitatSham.Shamela0037063-ara1
800,7943,KurdCali,KhitatSham,1372,1372KurdCali.KhitatSham.Shamela0037063-ara1
100,29,MajdDinMuayyadi,JamicaMuhimma,1428,1428MajdDinMuayyadi.JamicaMuhimma.Zaydiyya0000002-ara1
700,390,MajdDinMuayyadi,LawamicAnwar,1428,1428MajdDinMuayyadi.LawamicAnwar.Zaydiyya0000098-ara1
100,129,Maghrawi,MawsucaMawaqifSalaf,1450,1450Maghrawi.MawsucaMawaqifSalaf.Shamela0037325-ara1
150,103,Maghrawi,MawsucaMawaqifSalaf,1450,1450Maghrawi.MawsucaMawaqifSalaf.Shamela0037325-ara1
600,76,Maghrawi,MawsucaMawaqifSalaf,1450,1450Maghrawi.MawsucaMawaqifSalaf.Shamela0037325-ara1
100,1407,WizaraAwqafMisriyya,TarajimMujaza,1450,1450WizaraAwqafMisriyya.TarajimMujaza.Shamela0000435-ara1
